generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,extinct
0,0.721040501378651,0.022867286072093842,0.003797204541476567,100,61,2.0,3,0
1,0.8096953397461435,0.02175292057726753,0.0022145034096182565,100,64,1.0,4,0
2,0.8564802148180014,0.024967271048987747,0.0014396662256550977,100,63,1.0,4,0
3,0.870553427252307,0.027602121851755684,0.0011404370607385698,100,58,1.5,5,0
4,0.8530686153473588,0.03166966499621919,0.001255074188391094,100,63,1.0,3,0
5,0.8795840371733251,0.032806944601280016,0.0008501327405913378,100,66,1.0,4,0
6,0.8793577783176978,0.0397261813915373,0.0005753167498950111,100,64,1.0,4,0
7,0.8481579777399416,0.042795867946625585,0.0008502476854086972,100,63,1.0,4,0
8,0.8653479552076773,0.03695054311106274,0.0008480525109182562,100,60,1.5,4,0
9,0.8327308768756571,0.04954148453440442,0.0007093866812577544,100,64,1.0,4,0
10,0.8422468048114808,0.047034950384012994,0.0006705308156386609,100,64,1.0,3,0
11,0.842882918534267,0.05003706703445341,0.0004934560879123097,100,63,1.0,4,0
12,0.8094956206003897,0.05740761922169442,0.0005386163029248767,100,56,2.0,4,0
13,0.7997392633572291,0.06057234175403326,0.0004346418730170086,100,63,1.0,5,0
14,0.7702962454933793,0.06440399322906218,0.000587164312326446,100,61,1.0,5,0
15,0.7420342220877287,0.06773285089937993,0.0007712088465826512,100,62,1.0,5,0
16,0.7351543397389422,0.06526235687859652,0.0010756696129648156,100,64,1.0,4,0
17,0.6959023002007378,0.07142648775892994,0.00124102579303973,100,61,1.0,4,0
18,0.6964144490820471,0.07311482664472192,0.0010765476402784162,100,65,1.0,4,0
19,0.7214259806452274,0.0646114818622628,0.0013634995405622198,100,62,1.0,6,0
20,0.7280616982176327,0.0639577758586496,0.0012972664880196076,100,62,1.0,5,0
21,0.7310224788300599,0.06751882613112002,0.0010189312914274627,100,63,1.0,4,0
22,0.739430162078583,0.06490119181267837,0.0011184987359589226,100,66,1.0,3,0
23,0.7064462847817151,0.06675028784669546,0.0014946158390947814,100,58,1.0,7,0
24,0.7165088447981719,0.06482386994053574,0.0015108440437803252,100,62,1.0,5,0
25,0.7346692524629101,0.060538614814653904,0.0015556472993997661,100,62,2.0,3,0
26,0.8072012002341153,0.04389197937068369,0.001344683152639556,100,64,1.0,3,0
27,0.8363029838241607,0.041936851144407844,0.0010100601179404663,100,64,1.0,3,0
28,0.8351357469342178,0.04689467383864271,0.0008303717886754809,100,66,1.0,4,0
29,0.8599108823353739,0.04306249372853372,0.0006551563094579966,100,62,1.0,3,0
30,0.8531104736792783,0.04478859626194936,0.0006481782010723618,100,63,1.0,4,0
31,0.8583418210517654,0.04242166358939391,0.0006894410951594583,100,62,1.5,3,0
32,0.8460610112098143,0.04618809509761473,0.0006856561594657568,100,63,1.0,4,0
33,0.8387323915184934,0.045061779195802155,0.0008651179576171326,100,65,1.0,4,0
34,0.8359418974892887,0.048377630305471826,0.0007479915887290008,100,55,2.0,5,0
35,0.8442681730545145,0.04734375714247115,0.0006833962861085114,100,64,1.0,4,0
36,0.8466756602897254,0.04830955058645447,0.0005756197407224161,100,66,1.0,4,0
37,0.8469906819204062,0.04648592830960504,0.0006437401930191125,100,64,1.0,6,0
38,0.8500973404858603,0.03795842804098231,0.0009617376905321083,100,67,1.0,5,0
39,0.8653849461808236,0.024451560223007103,0.0011768521112949315,100,60,1.0,4,0
40,0.8736712688191275,0.028793288775255114,0.0010000349837923361,100,63,1.0,4,0
41,0.8715503959200543,0.026878901783557178,0.0010520153609913582,100,68,1.0,3,0
42,0.8728542597306058,0.029071415659897293,0.0010174528582125285,100,64,1.0,4,0
43,0.8791927248722484,0.02281529373608793,0.0011331326020701648,100,57,1.0,5,0
44,0.8824489382276879,0.02490000430684469,0.0010091095230037117,100,71,1.0,3,0
45,0.8923267325723665,0.021339659564319526,0.0009568037879527519,100,64,1.0,4,0
46,0.9048217194670449,0.008901126341933574,0.000997085576563931,100,61,1.0,4,0
47,0.9223625540822047,0.007578612296979522,0.0008162599755178234,100,63,1.0,4,0
48,0.919159641859261,0.013975053208637392,0.0007734980864407609,100,58,2.0,5,0
49,0.9394718692430812,0.007427081277139272,0.0006227398550990304,100,71,1.0,4,0
50,0.9438212648310801,0.014988810541224203,0.0004909053492078132,100,69,1.0,3,0
51,0.9439190811181881,0.011460918072914925,0.0005493944213108818,100,63,1.0,5,0
52,0.9330744130569505,0.011891461150502606,0.0006606684926804095,100,65,1.0,5,0
53,0.9305021063525111,0.010575996795032338,0.0007051298768701763,100,62,1.0,4,0
54,0.925664744001554,0.009473093951900189,0.0007989140089510196,100,59,2.0,5,0
55,0.9074823900149714,0.015169973176684125,0.001014723616907313,100,67,1.0,3,0
56,0.9436196312321254,0.013888373079395208,0.0005282049935354042,100,69,1.0,5,0
57,0.9607876270010882,0.015104862010166658,0.0003029168326276066,100,59,1.0,5,0
58,0.9557673707405934,0.018927521576759657,0.00028577704683467673,100,65,1.0,4,0
59,0.9410170506295641,0.025765438036238587,0.00029775394710119434,100,65,1.0,4,0
60,0.9217703809482951,0.031061656781571523,0.00037239925902662674,100,65,1.0,5,0
61,0.9067516793061324,0.03530516045299113,0.0004100246927580967,100,62,1.0,6,0
62,0.900151754211177,0.03552474867823431,0.0004652753149884213,100,63,1.0,4,0
63,0.878063765977018,0.038914009939030235,0.0006101957693961099,100,59,1.0,5,0
64,0.8729742321525468,0.040001592019990026,0.0006236769728339319,100,59,1.0,4,0
65,0.8738545965767591,0.041929002763200836,0.000497835032452807,100,60,1.0,6,0
66,0.8411943260185675,0.046917762958944995,0.0007126994473222652,100,66,1.0,4,0
67,0.8400863586459757,0.04888704078320843,0.0005752555190255447,100,56,1.0,4,0
68,0.8185077792057409,0.052984471764116275,0.0006400578948780489,100,59,2.0,4,0
69,0.8195828549862899,0.052931643640990504,0.0006323066473042338,100,61,2.0,3,0
70,0.7956551395666723,0.05581141797559372,0.0008124112358990402,100,65,1.0,4,0
71,0.795410001729341,0.05688202311682828,0.0007434324666152627,100,64,1.0,4,0
72,0.8030702359495252,0.05779800192491787,0.000616524341406451,100,62,1.0,4,0
73,0.7786356939192055,0.06333991654166694,0.0005998635312447764,100,61,2.0,3,0
74,0.7739410285490383,0.06274806920713605,0.000701007855218726,100,64,1.0,4,0
75,0.7713521165118695,0.06469388564969882,0.0006275060407536196,100,64,1.0,4,0
76,0.6968724692220414,0.07466925845713526,0.0010709534792254516,100,64,1.0,4,0
77,0.6875987762211341,0.07811157825294966,0.0009020236914467023,100,60,1.0,6,0
