generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,extinct
0,0.6468135046979354,0.009222874986924045,0.0053125579178499305,100,67,1.0,5,0
1,0.7176033614394531,0.02021828739098348,0.0036155246082502294,100,64,1.0,5,0
2,0.784944256531346,0.025483779374935216,0.00235566512793316,100,64,1.0,4,0
3,0.8402172359996911,0.01592932973397686,0.0017314954804104085,100,61,1.0,5,0
4,0.8491556862602054,0.021925609258271198,0.0015315800686281854,100,63,1.0,4,0
5,0.873719174374891,0.022113654005554626,0.001187242271002145,100,60,1.0,4,0
6,0.8870647771354764,0.022148576424276097,0.0009911838028638796,100,63,1.0,3,0
7,0.9000730308873973,0.02256381903528536,0.0008396083340532922,100,65,1.0,4,0
8,0.8979509412812824,0.03021432411005783,0.0006535480711810942,100,66,1.0,5,0
9,0.8964804989408399,0.029525654517782808,0.0007094564108304035,100,62,1.0,3,0
10,0.8994917066747401,0.0356558332263312,0.0004747668714687875,100,64,1.0,4,0
11,0.8892406889077471,0.039433654635050705,0.0004168604129603052,100,66,1.0,6,0
12,0.8714590898693351,0.04100080122303419,0.0005582483692692493,100,60,1.5,4,0
13,0.8639537027660887,0.04201082677905925,0.000593128103054108,100,59,1.0,5,0
14,0.8513646454312774,0.04471770162344024,0.0006407649943552386,100,59,1.0,4,0
15,0.853251793228812,0.04193537835916418,0.0007379195968006814,100,63,1.0,5,0
16,0.8470005130395988,0.04137780552315801,0.0008757593035655374,100,62,1.0,4,0
17,0.8389174101459538,0.04542531589999335,0.0007720513616086063,100,64,1.0,4,0
18,0.8147150926183986,0.03727847525453508,0.0015633209312045633,100,64,1.0,4,0
19,0.8640856843945793,0.03185693714955116,0.0010030118042607338,100,60,1.0,4,0
20,0.8772086439071642,0.03183411505154717,0.0008579384839675886,100,64,1.0,4,0
21,0.884570400145332,0.02925777158663483,0.0008596096584916849,100,65,1.0,4,0
22,0.879369256099724,0.02925354886459863,0.0009285249147318012,100,65,1.0,5,0
23,0.8663374588461482,0.03299872556190234,0.0009688760208292262,100,64,1.0,4,0
24,0.8775299502627096,0.03338741789628508,0.0008666518435631158,100,67,1.0,5,0
25,0.8865060708639301,0.031644308775947996,0.0008019827625464366,100,60,1.0,4,0
26,0.910460756875453,0.03050992946078035,0.0006065139176183598,100,66,1.0,4,0
27,0.9500692722379092,0.027764907382196485,0.0001641225781771795,100,60,1.0,4,0
28,0.9302863185907178,0.03376576450706786,0.00020731132045961464,100,66,1.0,4,0
29,0.9064377697217726,0.03949564533055355,0.0002916319298853197,100,61,1.0,5,0
30,0.8828445869222605,0.04278350565110878,0.0004704876801944272,100,67,1.0,5,0
31,0.9102740393261649,0.03807937848651001,0.000241392815944209,100,62,1.0,5,0
32,0.8998343358253917,0.04172499499907473,0.0001931649514306377,100,55,2.0,5,0
33,0.8784945710965925,0.04626898793992055,0.0002489265791981142,100,62,1.0,3,0
34,0.8595529853316303,0.05142975770034415,0.00021077868653779738,100,58,1.5,4,0
35,0.8365326631427322,0.051288632316612855,0.000484784142854262,100,60,1.0,4,0
36,0.8244335999199847,0.053154029361211684,0.0005348247459688554,100,69,1.0,4,0
37,0.7937492724041746,0.054513758333168974,0.0009425047081967018,100,68,1.0,4,0
38,0.7833461642821689,0.0572087851419669,0.0008587041932590904,100,65,1.0,4,0
39,0.7726045095802195,0.06017365686548076,0.0008098634700285086,100,66,1.0,4,0
40,0.7777134668322597,0.05812528805946455,0.0008684908871730015,100,69,1.0,3,0
41,0.7707995175239377,0.0592902168526391,0.0008986567266627374,100,65,1.0,4,0
42,0.7538949658088214,0.06470262268908532,0.0007930649243256344,100,66,1.0,4,0
43,0.7417837350557954,0.0664520172564214,0.0009240350427605961,100,65,1.0,4,0
44,0.7247798585011739,0.06731309528432891,0.001083032386930153,100,69,1.0,3,0
