generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,extinct
0,0.6659909954366234,0.01819129856334006,0.004734568365127024,100,65,1.0,4,0
1,0.747922295836576,0.015924353121470867,0.0034342436861942716,100,64,1.0,5,0
2,0.7926164304063622,0.024684448216444724,0.0022429471371171504,100,66,1.0,4,0
3,0.787157714463767,0.03147030403418869,0.002087208742226963,100,63,1.0,4,0
4,0.7488558135423224,0.04407602178246133,0.002138403931842242,100,60,1.0,5,0
5,0.7558444250141139,0.051932069257082075,0.0017020023378063577,100,63,1.0,5,0
6,0.7150658847788701,0.06252933744168972,0.001715152070553425,100,66,1.0,4,0
7,0.7471295152781459,0.05876584081547374,0.0014040107277700198,100,70,1.0,3,0
8,0.7079736673810609,0.07163154325613084,0.0011756438300988296,100,66,1.0,4,0
9,0.7063679650527497,0.07312223013091707,0.001035641994526955,100,65,1.0,4,0
10,0.6967590104531136,0.07729039293303838,0.0010077711687575758,100,60,1.0,4,0
11,0.67061392689954,0.08396299047596624,0.000895279892096139,100,66,1.0,3,0
12,0.7081051313426546,0.07616878578235857,0.0008898008282731588,100,64,1.0,3,0
13,0.7428486660565489,0.07182219787761446,0.000570078045557879,100,59,1.0,4,0
14,0.7107347361331913,0.0794742079297662,0.00038007146515992317,100,62,1.0,4,0
15,0.6494212793179832,0.09006924665438351,0.0004440250559402916,100,62,1.5,4,0
16,0.6138500983094471,0.09551051796547483,0.0005245338819056117,100,68,1.0,3,0
17,0.5765714961757229,0.09853307307234695,0.000980025431070992,100,61,1.0,4,0
18,0.5592335739165929,0.10290086835982241,0.0007699189832091817,100,65,1.0,4,0
19,0.5376956060145468,0.1082863701938661,0.000602585190633943,100,60,1.0,5,0
20,0.5019688589559822,0.11290487855973078,0.0008193128766769216,100,63,1.0,3,0
21,0.45276823922776477,0.12302719768389313,0.0006471678767064117,100,68,1.0,4,0
22,0.4494419832233448,0.1236276464866264,0.0006142842220404213,100,67,1.0,5,0
23,0.397662379205914,0.13425311846431395,0.0004782520030766717,100,59,2.0,4,0
24,0.4034641878747731,0.13135761419054548,0.00068873936697359,100,63,1.0,4,0
25,0.3938843254131019,0.13508647902965837,0.0007682090246491131,100,70,1.0,3,0
26,0.39298590358521657,0.13590546127492045,0.000779413840528991,100,66,1.0,4,0
27,0.4391143633776488,0.12698633430811673,0.001133713866552877,100,62,1.0,4,0
28,0.4737169869276987,0.12022413814826523,0.0013922012931630236,100,61,1.0,4,0
29,0.5385436264133474,0.10794613401599772,0.0013305732751842804,100,65,1.0,4,0
30,0.5538543734687211,0.10542928902086665,0.0011250633502400858,100,67,1.0,4,0
31,0.5915763804039874,0.09792362179174469,0.0010028985280719875,100,67,1.0,3,0
32,0.6413969164696808,0.0878141862005481,0.0009179759331788535,100,66,1.0,3,0
33,0.6603149296582054,0.08287342806255611,0.0010316698955537705,100,69,1.0,4,0
34,0.7124309256362612,0.07256350655241534,0.0011999425680336146,100,58,1.0,5,0
35,0.8213725052345363,0.05397317840595544,0.0007881325763287999,100,60,1.0,4,0
36,0.8091206863187712,0.05708739226818507,0.0007507913229220877,100,59,2.0,5,0
37,0.8108797173093653,0.05848723336462718,0.0006063520126216097,100,59,2.0,5,0
38,0.7764077947016332,0.06545961363929109,0.0007187202652891391,100,59,1.0,4,0
39,0.8098480674260654,0.062042559475813434,0.0002987068665216836,100,66,1.0,4,0
40,0.8202421192090164,0.05844469004317334,0.00032874580867888245,100,65,1.0,4,0
41,0.8071247565660877,0.06197819186783049,0.0002573630812109241,100,60,1.0,5,0
42,0.7875001381962814,0.06600949783116654,0.0002519231919056253,100,70,1.0,3,0
43,0.7947966954206446,0.06357796239975028,0.0003205288645282579,100,62,1.0,4,0
44,0.8000257967731496,0.061782143551698386,0.0003896897745734808,100,62,1.0,4,0
45,0.807705362535289,0.06008593340585977,0.0004081083937855046,100,58,1.0,4,0
46,0.7880675677009374,0.0636443759275471,0.0004369655521628792,100,64,1.0,4,0
47,0.8013197750362678,0.060077430215171014,0.0005092625587950131,100,63,1.0,5,0
48,0.7670756495955328,0.06720476296148958,0.00047269303921305115,100,67,1.0,4,0
49,0.7911407385186183,0.06299277024904082,0.00043402262414052816,100,60,1.0,4,0
50,0.8110820258673472,0.05750334008163024,0.0005600712176663269,100,60,1.5,4,0
51,0.8540164449961112,0.04707902944417899,0.0006053259110749122,100,64,1.0,4,0
52,0.8608388776844127,0.04388521521802843,0.0006800357563869993,100,70,1.0,5,0
53,0.8738048000034572,0.04234827717212386,0.0005729787222539482,100,59,1.0,5,0
54,0.89065602298558,0.038027261567470605,0.0005388637471470262,100,59,1.0,5,0
55,0.8987269809874546,0.03578065915312423,0.0004982674887700135,100,61,1.0,4,0
56,0.9147923659085236,0.02994665406343075,0.000569164123087468,100,65,1.0,4,0
57,0.9089231578715691,0.02528839088321819,0.0009408816055452903,100,61,1.0,4,0
58,0.9463968573204637,0.017075710507319257,0.00042745622030502937,100,69,1.0,5,0
59,0.9488307118776824,0.013174941070998798,0.0004602712039883366,100,62,1.0,5,0
60,0.9405227401976436,0.01181069788746242,0.0005723100480106464,100,70,1.0,4,0
61,0.9477814810923415,0.005233084094247522,0.0005690029516940082,100,61,1.0,4,0
62,0.9568724575616087,0.001614028837482744,0.00045938595843971917,100,61,1.0,5,0
63,0.9526222221534631,0.006958902157871531,0.0004856712474150928,100,65,1.0,4,0
64,0.9394078050978842,0.008915970249069871,0.0006163302266673889,100,66,1.0,4,0
65,0.9409548247406855,0.02081838707392215,0.0004173906108249579,100,64,1.0,4,0
66,0.9296202589930658,0.021459162419132784,0.0005296340679689718,100,57,2.0,6,0
67,0.9195918602325881,0.023990088002062634,0.0005701223070697575,100,64,1.0,4,0
68,0.8913259129898203,0.03293834478652249,0.0006372786286911306,100,63,1.0,5,0
69,0.8749344838853611,0.03227009478256166,0.0008595834577984357,100,66,1.0,5,0
70,0.8703873394801745,0.03312170306262321,0.0008908472676044884,100,64,1.0,4,0
71,0.8779204369848064,0.03201275921132927,0.0008272992920129948,100,66,1.0,4,0
72,0.8517886415821085,0.0382061004346587,0.0009506457030143448,100,66,1.0,3,0
73,0.8214857863619648,0.04479880099133909,0.0010741758484873155,100,64,1.0,4,0
74,0.8006999009312687,0.052081788460912666,0.0009832812783299788,100,64,1.0,3,0
75,0.7804920803024351,0.05826144455017341,0.0009264999386957781,100,63,1.0,4,0
76,0.7615173928514125,0.06193161904980831,0.0009693401660055085,100,62,1.0,5,0
77,0.7308482382835484,0.06911076843487081,0.0009501875347835281,100,66,1.0,5,0
78,0.7004744479734412,0.07394167047383436,0.0011383796467084137,100,63,1.0,4,0
79,0.6968446157562452,0.07627069169806143,0.0011306097256870008,100,65,1.0,4,0
80,0.7087148777509323,0.07624342925002903,0.0008979853225900378,100,62,1.0,4,0
81,0.7240282831399593,0.07499794788514001,0.0007078699368714531,100,58,1.0,5,0
82,0.7151018219456836,0.07795315119853204,0.0005966166719110957,100,61,1.0,4,0
83,0.7070194814956325,0.0788195552855714,0.0005615066785375271,100,62,1.0,5,0
84,0.6539026927571904,0.08785686336772158,0.0006194740149168342,100,64,1.0,4,0
