generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,extinct
0,0.6827100059309126,0.024845492248323935,0.004247522554708036,100,64,1.0,4,0
1,0.7641554367199228,0.013183813090142976,0.003112354134836429,100,61,1.0,4,0
2,0.8300977752949005,0.028392865747131152,0.0016063074670862121,100,68,1.0,4,0
3,0.7696586919831491,0.04463725725133501,0.001804181345452223,100,60,1.0,4,0
4,0.7247133751023433,0.05243928582010773,0.002064393711352898,100,68,1.0,4,0
5,0.6702738375941091,0.06631782678464815,0.002138839769079551,100,60,1.0,5,0
6,0.6943387012835397,0.06477854333084038,0.001994589808525034,100,65,1.0,4,0
7,0.6843368973706941,0.0729312767554846,0.0015231198963095226,100,61,1.0,4,0
8,0.6130459110673345,0.08934544800050825,0.0017129057179610275,100,63,1.0,4,0
9,0.5972813353769115,0.09517831612222173,0.0011829194927620646,100,66,1.0,4,0
10,0.5533174067771521,0.1033551532336503,0.0008743508222264107,100,65,1.0,4,0
11,0.46573400254943564,0.12017988347589643,0.0007401370343689455,100,62,1.0,5,0
12,0.39257701745336604,0.13468344527170456,0.0007614211963296062,100,63,1.0,5,0
13,0.35480102640233235,0.14122342299182417,0.0007432983337762741,100,60,2.0,4,0
14,0.298741188888171,0.1497268920337844,0.0013274842463560747,100,61,1.0,4,0
15,0.24558984343056095,0.1610384193636862,0.001643040059735051,100,63,1.0,6,0
16,0.21235351671113686,0.17005999679515402,0.0017756889044417046,100,57,2.0,4,0
17,0.18569539839225832,0.17756990724624108,0.0017056487506491751,100,67,1.0,4,0
18,0.16358031892253114,0.18626835350958315,0.0018271682927248792,100,59,2.0,4,0
19,0.1388534320552009,0.19493364787188497,0.001907596684073881,100,68,1.0,4,0
20,0.13874984476930016,0.1948355092738449,0.001882778047487704,100,64,1.0,4,0
21,0.15328242737827838,0.1975459363691672,0.0015919545026004613,100,62,1.0,3,0
22,0.24060966392569763,0.1817434139155878,0.001935959334745397,100,58,1.0,4,0
23,0.37614317687593724,0.14345187073675117,0.0007033558782175384,100,68,1.0,3,0
24,0.36180785034745355,0.14178882262822934,0.000373111193648737,100,61,1.0,4,0
25,0.33210633812178325,0.1489875371332344,0.0010305313818296299,100,65,1.0,4,0
26,0.42453929809526647,0.13298492141232404,0.0013749547109471513,100,60,1.0,4,0
27,0.5046739384032616,0.11844757867912081,0.001317536146816432,100,61,1.0,5,0
28,0.6087414426543081,0.09921821813256498,0.0002463281992669056,100,60,1.0,5,0
29,0.5469360205021637,0.1089569083609775,0.00016734092199815627,100,57,1.0,4,0
30,0.46904602981216215,0.12067072177885008,0.0003908605927855628,100,59,2.0,4,0
31,0.40637497047377613,0.13083653717335203,0.0006927215161740735,100,61,1.0,5,0
32,0.35477378199084764,0.13985830896402507,0.0007525800158490002,100,63,1.0,4,0
33,0.32608799806538585,0.14350743051784334,0.0012499530631118444,100,69,1.0,4,0
34,0.3017883243725886,0.14851958849179175,0.0014335749146257546,100,67,1.0,5,0
35,0.30946842446422035,0.14557691496269012,0.0017706203386617387,100,67,1.0,4,0
36,0.3096701768647737,0.1439813979555641,0.002016191883664444,100,61,1.0,4,0
37,0.3053570413092083,0.14196977327804167,0.002360432400279803,100,60,1.5,4,0
38,0.305457101355803,0.13866589380763972,0.0026533491690423536,100,69,1.0,5,0
39,0.2939483207266097,0.14301487527572238,0.002343481694699183,100,63,1.0,4,0
40,0.29204791627966975,0.14346988543257266,0.0023802414325363357,100,61,1.0,4,0
41,0.28925074775256054,0.14442753430771532,0.0023841484509575703,100,61,1.0,4,0
42,0.28261680138415074,0.15130539352293354,0.0015894131802344487,100,62,1.0,3,0
43,0.29156337534554255,0.15120988473343613,0.0011482663205382992,100,70,1.0,3,0
44,0.28738377486225664,0.15298061433183394,0.001044729140474859,100,66,1.0,3,0
45,0.2880423645825813,0.1539260089190183,0.0008740873903938005,100,63,1.0,4,0
46,0.2810197909909783,0.1564494165499902,0.0007561542178588707,100,69,1.0,4,0
47,0.29190910991194036,0.155146186384032,0.000654964071268403,100,69,1.0,3,0
48,0.3074274756403694,0.1527393336122224,0.0006514599759137772,100,62,1.0,4,0
49,0.322524484863021,0.1501176585930999,0.0007177054859705484,100,63,1.0,4,0
50,0.3879081556453707,0.1363833150271892,0.0009886637312871553,100,64,1.0,4,0
51,0.4693714909526083,0.12019060220137136,0.0011974816127580598,100,66,1.0,4,0
52,0.5236800013609941,0.10867401404884863,0.0011577669910469066,100,60,1.0,7,0
